episode,crop,season_return,avg100_return,actor_loss,critic_loss,entropy,total_water_mm,total_nitrogen_kgha,vs_baseline_pct
69,cotton,-120.3095,-82.1369,0.460083,102.430199,1.237766,2465.0,210.0,46.24
70,cotton,-128.2234,-82.7952,0.535497,135.934601,1.238071,2605.0,210.0,45.81
71,cotton,-118.9514,-83.3045,-2.579738,47.336422,1.200943,2460.0,200.0,45.48
72,maize,-48.6582,-82.8233,0.134834,40.769203,0.029104,1825.0,210.0,45.79
73,cotton,-126.3468,-83.4195,0.410699,48.535473,1.214682,2590.0,220.0,45.4
74,cotton,-123.7208,-83.9641,2.388877,36.266232,1.207207,2530.0,240.0,45.04
75,cotton,-126.0438,-84.5252,-3.419337,28.354815,1.200046,2575.0,210.0,44.68
76,cotton,-120.361,-84.9967,-2.676083,44.354805,1.146782,2475.0,205.0,44.37
77,maize,-49.6822,-84.5381,0.148525,118.959221,0.024158,1865.0,210.0,44.67
78,maize,-51.8252,-84.1187,0.233719,94.780945,0.02258,1855.0,210.0,44.94
79,maize,-47.4074,-83.654,-0.000471,22.475908,0.026007,1815.0,210.0,45.25
80,cotton,-112.3368,-84.0125,-2.672613,75.017502,1.003992,2320.0,200.0,45.01
81,cotton,-119.3819,-84.4492,-3.346546,45.315716,1.014799,2450.0,200.0,44.73
82,maize,-50.5183,-84.0354,-0.008443,9.578562,0.034827,1865.0,210.0,45.0
83,maize,-51.3519,-83.6416,-0.086128,7.465192,0.042425,1895.0,210.0,45.25
84,maize,-46.4389,-83.1987,0.021142,17.714064,0.046643,1805.0,210.0,45.54
85,cotton,-120.6431,-83.6392,9.303052,113.66246,1.056582,2465.0,210.0,45.26
86,cotton,-116.235,-84.0182,4.918316,73.822365,0.996802,2405.0,200.0,45.01
87,maize,-51.7034,-83.6468,0.016425,19.508652,0.043697,1915.0,210.0,45.25
88,cotton,-111.0151,-83.9578,0.275869,26.383657,0.895926,2310.0,210.0,45.05
89,maize,-48.759,-83.5623,-0.089154,16.751577,0.034789,1875.0,210.0,45.31
90,cotton,-109.7716,-83.8535,-5.038231,108.048828,0.798401,2285.0,210.0,45.12
91,maize,-46.8189,-83.4466,-0.133015,28.586767,0.032221,1785.0,210.0,45.38
92,cotton,-111.5838,-83.7524,-6.126345,134.622635,0.80169,2325.0,210.0,45.18
93,cotton,-108.6742,-84.0204,-7.982641,121.063789,0.76408,2290.0,200.0,45.01
94,cotton,-115.0726,-84.3507,-3.437743,92.188698,0.837953,2375.0,210.0,44.79
95,cotton,-112.0401,-84.6422,0.094218,24.079651,0.778838,2325.0,210.0,44.6
96,maize,-49.5187,-84.2763,0.01882,21.435455,0.022752,1835.0,210.0,44.84
97,maize,-51.5501,-83.9389,0.022059,60.998871,0.018309,1885.0,210.0,45.06
98,cotton,-119.8981,-84.3059,15.565308,392.021027,0.774122,2455.0,210.0,44.82
99,maize,-46.783,-83.9268,0.000871,13.650572,0.011753,1815.0,210.0,45.07
100,maize,-46.8082,-83.5557,-0.000675,9.629788,0.010278,1815.0,210.0,45.31
101,maize,-50.1273,-82.8729,-0.042423,6.086652,0.007886,1845.0,210.0,45.76
102,maize,-49.6951,-82.7918,-0.001196,4.545353,0.007088,1875.0,210.0,45.81
103,cotton,-111.7393,-83.3245,9.314739,265.2435,0.653251,2320.0,210.0,45.46
104,cotton,-113.6835,-83.8566,7.042608,247.779709,0.659981,2345.0,210.0,45.11
105,cotton,-114.894,-84.409,6.475346,151.152603,0.646717,2360.0,210.0,44.75
106,maize,-50.5456,-84.331,-0.000521,16.574194,0.003384,1915.0,210.0,44.8
107,maize,-48.0119,-83.6428,-0.001359,12.869535,0.003275,1825.0,210.0,45.25
108,cotton,-113.5768,-83.5514,1.260104,31.92185,0.651248,2330.0,210.0,45.31
109,maize,-48.8907,-83.5016,-0.000449,12.206206,0.002706,1895.0,210.0,45.35
110,maize,-49.4007,-83.4765,-0.000568,5.058631,0.002702,1835.0,210.0,45.36
111,maize,-50.624,-82.7667,0.000376,9.465281,0.002556,1895.0,210.0,45.83
112,cotton,-103.663,-82.6066,-4.382251,97.375191,0.594917,2205.0,210.0,45.93
113,maize,-46.133,-81.8446,0.000505,34.264717,0.002675,1775.0,210.0,46.43
114,cotton,-112.2768,-82.4524,-2.158498,36.19096,0.666685,2330.0,210.0,46.03
115,maize,-47.7162,-82.4035,0.000973,27.551052,0.002546,1825.0,210.0,46.06
116,cotton,-109.0612,-82.2794,-2.062962,61.924305,0.648359,2290.0,210.0,46.15
117,maize,-48.0056,-81.5758,0.001102,39.18576,0.002712,1795.0,210.0,46.61
118,maize,-49.6106,-80.9215,0.000763,21.311403,0.002486,1875.0,210.0,47.03
119,maize,-48.046,-80.9337,0.000421,17.688835,0.002387,1835.0,210.0,47.03
120,cotton,-115.0252,-80.8685,-4.973089,89.558929,0.707385,2380.0,210.0,47.07
