episode,crop,dap,xlai,topwt,water_mm,nitrogen_kg
1,maize,98,1.9317,9834.66,0,0.0
1,maize,99,1.9066,10045.27,0,0.0
1,maize,100,1.8788,10258.03,0,0.0
1,maize,101,1.8486,10514.99,0,0.0
1,maize,102,1.8158,10763.87,0,0.0
1,maize,103,1.7801,11005.8,0,0.0
1,maize,104,1.7421,11240.31,0,0.0
1,maize,105,1.7021,11472.6,0,0.0
1,maize,106,1.6604,11705.9,0,0.0
1,maize,107,1.6172,11921.87,0,0.0
1,maize,108,1.5726,12127.53,0,0.0
1,maize,109,1.5269,12321.11,0,0.0
1,maize,110,1.4804,12494.13,0,0.0
1,maize,111,1.4331,12658.43,0,0.0
1,maize,112,1.3854,12787.82,0,0.0
1,maize,113,1.3379,12939.71,0,0.0
1,maize,114,1.2905,13066.73,0,0.0
1,maize,115,1.2438,13165.2,0,0.0
1,maize,116,1.1979,13244.54,0,0.0
1,maize,117,1.1525,13313.91,0,0.0
1,maize,118,1.1078,13364.56,0,0.0
1,maize,119,1.0578,13385.77,0,0.0
1,maize,120,1.0094,13405.11,0,0.0
1,maize,121,0.9633,13435.79,0,0.0
1,maize,122,0.92,13465.67,0,0.0
1,maize,123,0.8826,13500.75,0,0.0
1,maize,124,0.8425,13514.35,0,0.0
1,maize,125,0.8089,13552.26,0,0.0
1,maize,126,0.7772,13623.86,0,0.0
1,maize,127,0.7471,13700.23,0,0.0
1,maize,128,0.7178,13765.72,0,0.0
1,maize,129,0.7178,13765.72,0,0.0
1,maize,130,0.7178,13765.72,0,0.0
1,maize,131,0.7178,13765.72,0,0.0
1,maize,132,0.0,0.0,0,0.0
500,maize,0,0.0,0.0,0.0,0.0
500,maize,0,0.0,0.0,0.0,0.0
500,maize,0,0.0,0.0,0.0,0.0
500,maize,0,0.0,0.0,0.0,0.0
500,maize,0,0.0,0.0,0.0,0.0
500,maize,0,0.0,0.0,0.0,0.0
500,maize,0,0.0,0.0,0.0,0.0
500,maize,0,0.0,0.0,0.0,0.0
500,maize,0,0.0,0.0,0.0,0.0
500,maize,0,0.0,0.0,0.0,0.0
500,maize,0,0.0,0.0,0.0,0.0
500,maize,0,0.0,0.0,0.0,0.0
500,maize,0,0.0,0.0,0.0,0.0
500,maize,0,0.0,0.0,0.0,0.0
500,maize,0,0.0,0.0,0.0,0.0
500,maize,0,0.0,0.0,0.0,0.0
500,maize,0,0.0,0.0,0.0,0.0
500,maize,0,0.0,0.0,0.0,0.0
500,maize,0,0.0,0.0,0.0,0.0
500,maize,0,0.0,0.0,0.0,0.0
500,maize,0,0.0,0.0,0.0,0.0
500,maize,0,0.0,0.0,0.0,0.0
500,maize,0,0.0,0.0,0.0,0.0
500,maize,0,0.0,0.0,0.0,0.0
500,maize,0,0.0,0.0,0.0,0.0
500,maize,0,0.0,0.0,0.0,0.0
500,maize,0,0.0,0.0,0.0,0.0
500,maize,0,0.0,0.0,0.0,0.0
500,maize,1,0.0,0.0,5,0.0
500,maize,2,0.0,0.0,5,0.0
500,maize,3,0.0,0.0,5,0.0
500,maize,4,0.0,0.0,5,0.0
500,maize,5,0.0,0.0,5,0.0
500,maize,6,0.0,0.0,5,0.0
500,maize,7,0.0,0.0,5,0.0
500,maize,8,0.0,0.0,5,0.0
500,maize,9,0.0,0.0,5,0.0
500,maize,10,0.0,0.0,5,0.0
500,maize,11,0.0011,28.8,5,0.0
500,maize,12,0.0009,28.8,5,0.0
500,maize,13,0.0009,28.8,5,0.0
500,maize,14,0.0017,28.8,5,0.0
500,maize,15,0.0015,28.8,5,0.0
500,maize,16,0.0011,28.8,5,0.0
500,maize,17,0.0023,28.8,5,20
500,maize,18,0.0042,28.8,5,0
500,maize,19,0.0039,28.8,5,5
500,maize,20,0.0061,28.8,5,40
500,maize,21,0.009,28.8,8,40
500,maize,22,0.0143,28.8,8,40
500,maize,23,0.0307,28.8,8,5
500,maize,24,0.0536,31.65,8,0.0
500,maize,25,0.0802,42.1,10,0.0
500,maize,26,0.1139,56.55,8,0.0
500,maize,27,0.1512,73.79,8,0.0
500,maize,28,0.1958,95.83,8,0.0
500,maize,29,0.2415,120.7,8,0.0
500,maize,30,0.2696,138.31,8,0.0
500,maize,31,0.3116,165.81,8,0.0
500,maize,32,0.3632,201.25,8,0.0
500,maize,33,0.3822,202.93,8,0.0
500,maize,34,0.3909,215.23,8,0.0
500,maize,35,0.4026,228.91,8,0.0
500,maize,36,0.4221,247.48,8,0.0
500,maize,37,0.4464,269.43,8,5
500,maize,38,0.4644,291.46,8,5
500,maize,39,0.4825,311.72,8,5
500,maize,40,0.4936,328.33,8,0
500,maize,41,0.5645,374.52,8,40
500,maize,42,0.6626,441.23,8,0
500,maize,43,0.7532,505.67,8,5
500,maize,44,0.845,573.86,8,0.0
500,maize,45,0.9263,636.57,8,0.0
500,maize,46,0.9918,688.59,8,0.0
500,maize,47,1.0677,750.71,8,0.0
500,maize,48,1.1733,840.69,8,0.0
500,maize,49,1.2592,916.64,8,0.0
500,maize,50,1.3276,978.93,8,0.0
500,maize,51,1.4322,1077.9,10,0.0
500,maize,52,1.5852,1231.48,8,0
500,maize,53,1.7594,1419.1,8,0
500,maize,54,1.9356,1623.02,8,40
500,maize,55,2.0774,1797.28,8,0
500,maize,56,2.1941,1961.63,10,0
500,maize,57,2.2795,2105.4,10,0
500,maize,58,2.3436,2238.63,10,20
500,maize,59,2.421,2410.62,10,0.0
500,maize,60,2.4803,2572.9,10,0.0
500,maize,61,2.511,2707.27,10,0.0
500,maize,62,2.5122,2805.02,10,0.0
500,maize,63,2.5064,2900.87,10,0.0
500,maize,64,2.5223,3047.6,10,0.0
500,maize,65,2.6675,3308.21,10,0.0
500,maize,66,2.702,3511.93,10,0.0
500,maize,67,2.7062,3703.01,10,0.0
500,maize,68,2.6822,3850.78,10,0.0
500,maize,69,2.6493,3993.03,10,0.0
500,maize,70,2.6008,4096.93,10,0.0
500,maize,71,2.5554,4216.54,10,0.0
500,maize,72,2.5159,4359.55,10,0.0
500,maize,73,2.4647,4462.66,10,0.0
500,maize,74,2.4184,4586.17,10,0.0
500,maize,75,2.373,4714.49,10,0.0
500,maize,76,2.329,4844.23,10,0.0
500,maize,77,2.2909,4992.95,10,0.0
500,maize,78,2.2544,5142.86,10,0.0
500,maize,79,2.2174,5285.76,10,0.0
500,maize,80,2.1773,5411.05,10,0.0
500,maize,81,2.142,5619.67,10,0.0
500,maize,82,2.1223,5842.78,10,0.0
500,maize,83,2.1086,6058.64,10,0.0
500,maize,84,2.0974,6321.27,10,0.0
500,maize,85,2.0883,6519.49,10,0.0
500,maize,86,2.0807,6707.1,10,0.0
500,maize,87,2.0754,6946.9,10,0.0
