episode,crop,season_return,avg100_return,actor_loss,critic_loss,entropy_water,entropy_nitrogen,total_water_mm,total_nitrogen_kgha,vs_baseline_pct,grain_yield_kgha,profit_usd_ha,avg100_profit_usd_ha
51,maize,17.757,16.2112,0.005961,0.573028,0.0921,0.9914,734.0,240.0,100.06,7473.8,1188.04,981.02
52,maize,17.5413,16.2368,0.066503,1.791786,0.0777,0.9494,741.0,260.0,100.06,7470.9,1163.12,984.52
53,maize,13.7067,16.189,-0.128844,3.691449,0.1101,0.9106,746.0,215.0,100.06,6395.2,936.21,983.61
54,maize,17.8751,16.2203,0.029133,0.610347,0.0792,0.908,741.0,235.0,100.06,7496.5,1194.53,987.51
55,maize,17.0252,16.2349,-0.050419,1.108084,0.0878,1.0469,732.0,295.0,100.06,7195.1,1064.58,988.91
56,maize,17.8544,16.2638,-0.010188,0.738354,0.0959,0.8865,739.0,235.0,100.06,7402.6,1172.26,992.19
57,maize,19.2913,16.3169,0.031662,3.340858,0.0728,0.8666,730.0,325.0,100.06,6452.7,850.18,989.7
58,maize,15.878,16.3094,-0.219796,4.508795,0.1109,1.0083,734.0,310.0,100.06,6727.3,931.41,988.69
59,maize,12.4296,16.2436,-0.200157,8.42753,0.1,1.1381,732.0,430.0,100.06,6233.7,689.23,983.62
60,maize,15.1484,16.2253,-0.083291,1.882897,0.1016,0.9738,745.0,335.0,100.06,7147.0,1004.74,983.97
61,maize,15.7285,16.2172,-0.040103,0.794727,0.1107,0.9333,734.0,410.0,100.06,6693.4,822.94,981.33
62,maize,19.2172,16.2656,0.069534,2.088742,0.0918,0.9204,732.0,210.0,100.06,7317.4,1180.16,984.53
63,maize,19.1553,16.3115,0.124981,4.201066,0.117,1.0878,732.0,330.0,100.06,7451.4,1093.65,986.27
64,maize,18.6439,16.3479,0.072084,4.180083,0.0852,0.8603,735.0,360.0,100.06,7250.4,1011.61,986.66
65,maize,15.5812,16.3361,-0.031247,0.779563,0.1143,1.0586,744.0,360.0,100.06,6605.7,845.03,984.48
66,maize,16.6647,16.3411,-0.012174,2.164382,0.1266,1.1723,740.0,500.0,100.06,7127.0,837.76,982.26
67,maize,21.7521,16.4218,0.251092,7.436258,0.0927,0.9154,734.0,290.0,100.06,7707.6,1196.49,985.46
68,maize,13.0587,16.3724,-0.068239,1.519098,0.1168,1.1593,734.0,435.0,100.06,6745.6,811.01,982.89
69,maize,12.1889,16.3118,-0.08843,2.472739,0.1149,1.0473,734.0,220.0,100.06,6863.4,1055.46,983.94
70,maize,15.1157,16.2947,-0.021692,0.749705,0.1091,1.0751,734.0,225.0,100.06,6278.7,904.27,982.81
71,maize,17.5266,16.312,0.160425,1.779973,0.1428,0.9659,748.0,345.0,100.06,7612.1,1109.23,984.59
72,maize,16.9675,16.3211,0.177811,2.935376,0.125,1.0796,751.0,295.0,100.06,7206.6,1056.06,985.58
73,maize,12.8781,16.274,-0.141385,3.750516,0.1625,0.9156,739.0,240.0,100.06,6613.4,969.94,985.37
74,maize,19.8068,16.3217,0.318566,6.872006,0.1392,0.9142,749.0,250.0,100.06,7695.5,1224.48,988.6
75,maize,12.8826,16.2758,-0.07262,1.445505,0.1391,1.11,752.0,335.0,100.06,6552.4,851.91,986.77
76,maize,17.265,16.2889,0.082381,1.16301,0.1439,0.9685,743.0,200.0,100.06,7251.3,1167.04,989.15
77,maize,16.8096,16.2956,0.144306,2.128519,0.139,0.8652,749.0,310.0,100.06,6665.3,906.92,988.08
78,maize,17.503,16.3111,0.210169,3.135999,0.1485,0.9459,746.0,420.0,100.06,7148.9,919.62,987.2
79,maize,18.1361,16.3342,0.326322,5.458524,0.1383,0.9098,751.0,265.0,100.06,7914.9,1263.12,990.69
80,maize,13.2737,16.296,-0.064867,1.143576,0.1685,1.1849,743.0,320.0,100.06,6496.9,858.44,989.04
81,maize,15.5389,16.2866,-0.029223,0.77286,0.1667,1.0969,747.0,350.0,100.06,7313.8,1030.25,989.55
82,maize,14.0547,16.2594,-0.160308,1.480942,0.1776,1.2767,751.0,425.0,100.06,6853.9,837.87,987.7
83,maize,17.562,16.2751,-0.04472,0.475976,0.1645,0.9333,747.0,190.0,100.06,7465.5,1228.18,990.6
84,maize,19.6341,16.3151,0.071595,2.025872,0.1889,0.833,746.0,200.0,100.06,7613.2,1255.7,993.75
85,maize,8.9735,16.2287,-0.379688,8.057937,0.1865,1.2117,759.0,230.0,100.06,5943.6,800.51,991.48
86,maize,17.4775,16.2432,-0.045865,0.754973,0.163,0.8944,744.0,170.0,100.06,7645.2,1294.89,995.01
87,maize,15.9647,16.24,0.074296,2.854666,0.14,0.9114,745.0,340.0,100.06,6388.0,809.99,992.88
88,maize,9.3317,16.1615,-0.408897,10.18748,0.2245,1.2951,759.0,380.0,100.06,5545.2,550.91,987.86
89,maize,18.1289,16.1836,0.239125,6.145115,0.1977,0.9443,755.0,260.0,100.06,7541.0,1172.24,989.93
90,maize,15.0182,16.1707,0.064754,0.756149,0.1849,0.9617,760.0,310.0,100.06,7106.1,1010.52,990.16
91,maize,18.4492,16.1957,0.054523,1.954911,0.1759,0.9009,745.0,255.0,100.06,7070.5,1065.61,990.99
92,maize,16.7004,16.2012,0.115102,1.836063,0.1839,0.9625,762.0,375.0,100.06,7549.2,1055.11,991.68
93,maize,17.2163,16.2121,0.176791,2.656542,0.2296,1.0304,747.0,315.0,100.06,7235.5,1045.69,992.27
94,maize,15.1201,16.2005,-0.007824,2.17699,0.2291,1.2351,750.0,485.0,100.06,6909.9,792.49,990.14
95,maize,10.1082,16.1364,-0.41142,6.878039,0.2688,1.3124,773.0,435.0,100.06,6455.9,715.19,987.25
96,maize,17.4055,16.1496,0.000462,1.276305,0.1854,1.026,753.0,280.0,100.06,7181.1,1063.46,988.04
97,maize,15.3677,16.1415,-0.112221,1.010126,0.2215,1.0032,771.0,300.0,100.06,7393.4,1085.76,989.05
98,maize,11.1017,16.0901,-0.399428,8.087654,0.2156,1.0851,761.0,380.0,100.06,6001.1,663.68,985.73
99,maize,13.8585,16.0676,-0.116367,4.697145,0.2127,1.004,765.0,365.0,100.06,6007.3,677.84,982.62
100,maize,14.782,16.0547,0.000597,2.645882,0.2345,0.9787,775.0,300.0,100.06,6576.1,879.03,981.58
101,maize,16.1355,16.0405,-0.016767,0.343298,0.2456,1.2146,747.0,355.0,100.06,7000.0,946.79,980.42
102,maize,15.3825,16.048,0.041097,0.656183,0.2885,1.0948,743.0,330.0,100.06,6974.7,967.88,980.08
103,maize,16.1684,16.0477,0.022541,0.701468,0.253,1.0434,780.0,425.0,100.06,7610.1,1009.53,981.67
104,maize,15.0711,16.0524,0.057499,1.142852,0.2419,1.0405,744.0,310.0,100.06,7236.9,1052.82,985.18
105,maize,17.6836,16.0809,0.161456,1.215622,0.2304,1.0,752.0,205.0,100.06,7290.1,1166.33,989.24
106,maize,14.9653,16.0657,0.138698,1.098499,0.2658,0.9758,743.0,135.0,100.06,7103.8,1195.15,992.24
107,maize,17.9778,16.0608,0.17063,1.629885,0.2212,1.0091,743.0,300.0,100.06,7616.7,1158.37,993.06
108,maize,12.8895,16.0388,-0.41435,3.605769,0.2538,1.3957,789.0,495.0,100.06,7121.3,811.93,992.05
109,maize,12.7198,15.955,-0.285331,8.110338,0.2675,1.0793,742.0,175.0,100.06,6243.7,940.73,988.65
110,maize,10.2881,15.8575,-0.522164,10.94079,0.2451,1.3185,758.0,395.0,100.05,6303.9,726.17,984.08
111,maize,12.4891,15.8174,-0.138444,2.803947,0.2431,1.1294,777.0,325.0,100.05,6516.9,838.03,983.75
112,maize,17.1205,15.7777,0.134841,1.279127,0.2369,1.0349,795.0,400.0,100.05,7481.1,993.26,980.48
113,maize,18.2258,15.8005,0.058574,1.549649,0.1904,0.8805,743.0,260.0,100.05,7666.8,1210.89,983.98
114,maize,11.8495,15.7369,-0.141248,5.50762,0.2464,1.0583,759.0,330.0,100.05,6188.6,761.75,981.8
115,maize,16.4179,15.6871,0.072012,1.196539,0.252,1.0187,754.0,235.0,100.05,7014.6,1066.26,979.69
116,maize,15.9858,15.739,-0.06258,1.28427,0.2471,1.0046,756.0,255.0,100.05,7373.2,1134.69,984.11
117,maize,8.4937,15.6525,-0.588519,16.862642,0.2438,1.1553,769.0,240.0,100.05,5738.4,733.2,979.44
118,maize,11.6191,15.6014,-0.283973,2.802373,0.2646,1.2602,772.0,340.0,100.05,7084.4,967.89,979.55
119,maize,15.3494,15.5614,0.04909,1.625914,0.2053,0.9562,767.0,195.0,100.05,6447.8,956.75,976.27
120,maize,17.1686,15.5277,0.077596,4.480681,0.2508,1.0962,763.0,275.0,100.05,7359.1,1106.97,974.27
121,maize,13.7126,15.4903,-0.053832,1.188186,0.2477,0.9756,784.0,165.0,100.05,6511.9,992.57,974.4
122,maize,14.7563,15.48,0.05262,0.516537,0.1886,0.9465,772.0,210.0,100.05,7283.2,1147.61,975.81
123,maize,12.6965,15.5075,0.017203,2.089491,0.2812,1.2,766.0,330.0,100.05,6539.2,845.21,980.03
124,maize,7.288,15.3961,-0.352264,6.713513,0.2426,1.3124,776.0,370.0,100.05,5258.4,479.0,974.08
125,maize,16.8892,15.3934,0.274009,4.256269,0.2008,1.0434,753.0,335.0,100.05,7644.5,1124.32,974.84
126,maize,-8.1214,15.1196,-1.874484,72.470474,0.3235,1.4606,176.0,125.0,100.05,0.0,-230.6,960.64
127,maize,14.2999,15.0987,0.073615,0.691164,0.2148,0.9868,745.0,305.0,100.05,6135.5,781.88,958.5
128,maize,19.1009,15.2006,0.221269,5.785299,0.2062,0.8184,750.0,150.0,100.05,7762.0,1340.49,965.85
129,maize,14.7875,15.1591,0.088771,2.689222,0.2677,1.197,746.0,330.0,100.05,6883.0,943.14,964.15
130,maize,17.0115,15.1603,0.235987,5.432428,0.2193,1.0133,754.0,175.0,100.05,7132.9,1155.83,963.2
131,maize,15.5166,15.2033,-0.119661,1.539324,0.2433,0.9996,751.0,265.0,100.05,7565.8,1175.84,966.73
132,maize,18.2305,15.2708,0.290955,5.849427,0.2046,1.0797,744.0,290.0,100.05,7584.6,1159.75,970.54
133,maize,19.7046,15.2974,0.245742,4.112948,0.2245,1.0381,746.0,185.0,100.05,7301.9,1192.88,970.32
134,maize,16.8198,15.2863,0.010755,0.856629,0.2481,1.2055,757.0,300.0,100.05,7189.1,1043.09,968.9
135,maize,17.8519,15.3105,0.099625,2.113792,0.2405,0.9651,741.0,390.0,100.05,7457.8,1029.84,969.26
136,maize,18.0174,15.3402,-0.021086,1.844911,0.2087,0.8851,746.0,190.0,100.05,7594.8,1261.11,973.96
137,maize,15.1068,15.348,-0.343354,6.956257,0.2314,1.3017,758.0,260.0,100.05,6934.7,1018.87,974.27
138,maize,16.6968,15.3518,-0.164633,4.187991,0.218,1.1587,756.0,320.0,100.05,7533.9,1109.88,976.14
139,maize,8.1724,15.2471,-0.659289,36.639721,0.2483,1.0066,743.0,325.0,100.05,5886.5,700.82,972.34
140,maize,11.9457,15.2032,-0.54064,16.935114,0.2314,1.0253,764.0,260.0,100.05,5980.1,776.62,968.37
141,maize,17.877,15.2026,-0.047565,4.17708,0.2141,0.9671,741.0,200.0,100.05,7169.3,1147.73,969.05
142,maize,16.4994,15.2071,-0.090956,2.69292,0.2178,1.0495,741.0,235.0,100.05,6824.6,1026.56,968.64
143,maize,14.2916,15.2238,-0.268976,4.663124,0.2331,1.0974,756.0,250.0,100.05,6804.5,997.52,972.32
144,maize,16.4223,15.2634,0.015237,0.971107,0.2165,1.0246,745.0,295.0,100.05,6865.6,974.41,974.15
145,maize,15.8273,15.2467,-0.131692,1.215484,0.2568,1.1836,741.0,235.0,100.05,6946.6,1057.06,975.95
146,maize,12.7979,15.278,-0.137687,6.638304,0.2241,0.939,750.0,125.0,100.05,6154.7,963.68,978.43
