episode,crop,dap,xlai,topwt,water_mm,nitrogen_kg
1,maize,90,2.0163,6317.89,30.0,0.0
1,maize,91,1.9853,6512.42,0.0,0.0
1,maize,92,1.9549,6733.9,20.0,0.0
1,maize,93,1.9255,6919.68,20.0,0.0
1,maize,94,1.897,7094.18,10.0,0.0
1,maize,95,1.8697,7255.55,10.0,0.0
1,maize,96,1.8438,7391.38,10.0,0.0
1,maize,97,1.8194,7598.9,10.0,0.0
1,maize,98,1.7923,7792.95,0.0,0.0
1,maize,99,1.7641,7987.0,10.0,0.0
1,maize,100,1.7348,8181.05,40.0,0.0
1,maize,101,1.7044,8355.38,10.0,0.0
1,maize,102,1.6733,8543.83,20.0,0.0
1,maize,103,1.6411,8737.43,40.0,0.0
1,maize,104,1.6079,8931.93,30.0,0.0
1,maize,105,1.5737,9100.96,0.0,0.0
1,maize,106,1.539,9263.45,0.0,0.0
1,maize,107,1.5041,9398.41,0.0,0.0
1,maize,108,1.4696,9516.34,30.0,0.0
1,maize,109,1.4355,9657.31,0.0,0.0
1,maize,110,1.4012,9792.77,0.0,0.0
1,maize,111,1.367,9951.84,40.0,0.0
1,maize,112,1.3323,10117.76,40.0,0.0
1,maize,113,1.297,10272.66,40.0,0.0
1,maize,114,1.2614,10424.75,0.0,0.0
1,maize,115,1.2254,10566.55,30.0,0.0
1,maize,116,1.1896,10726.81,20.0,0.0
1,maize,117,1.1532,10879.48,40.0,0.0
1,maize,118,1.1168,11022.55,30.0,0.0
1,maize,119,1.0799,11154.83,30.0,0.0
1,maize,120,1.043,11273.13,20.0,0.0
1,maize,121,1.0061,11383.7,40.0,0.0
1,maize,122,0.9696,11491.72,10.0,0.0
1,maize,123,0.9336,11592.79,20.0,0.0
1,maize,124,0.8984,11691.54,0.0,0.0
1,maize,125,0.864,11783.67,40.0,0.0
1,maize,126,0.8301,11874.26,20.0,0.0
1,maize,127,0.7972,11958.25,0.0,0.0
1,maize,128,0.7653,12038.99,10.0,0.0
1,maize,129,0.7344,12097.15,20.0,0.0
1,maize,130,0.7042,12153.63,0.0,0.0
1,maize,131,0.6753,12215.16,10.0,0.0
1,maize,132,0.6478,12279.44,30.0,0.0
1,maize,133,0.6478,12279.44,40.0,0.0
1,maize,134,0.6478,12279.44,10.0,0.0
1,maize,135,0.6478,12279.44,10.0,0.0
1,maize,135,0.6478,12279.44,40.0,0.0
500,maize,0,0.0,0.0,30.0,0.0
500,maize,0,0.0,0.0,40.0,0.0
500,maize,0,0.0,0.0,20.0,0.0
500,maize,0,0.0,0.0,20.0,0.0
500,maize,0,0.0,0.0,20.0,0.0
500,maize,0,0.0,0.0,10.0,0.0
500,maize,0,0.0,0.0,10.0,0.0
500,maize,0,0.0,0.0,0.0,0.0
500,maize,0,0.0,0.0,30.0,0.0
